"pontoLat";"pontoLong";"pontoEnd";"idtipoSinal";"tipoSinalDesc";"pontoVagas"
"-30.033124762539700";"-51.23889043669283";"Rua dos Andradas, n° 261";"1";"PCDs";"1"
"-30.03316702683086";"-51.23929276804506";"Rua dos Andradas, em frente ao Museu do Traba";"1";"PCDs";"1"
"-30.03455688091617";"-51.23739882966919";"Rua Duque de Caxias, n° 402";"1";"PCDs";"4"
"-30.031259512420952";"-51.2365727092926";"Rua Gen. Canabarro x Rua 7 de Setembro";"1";"PCDs";"1"
"-30.031890340997887";"-51.235474344701004";"Rua dos Andradas, n° 629";"1";"PCDs";"1"
"-30.030822024535226";"-51.234792822367865";"Rua 7 de Setembro 555, em frente a Casa de Cultur";"1";"PCDs";"1"
"-30.030763014029823";"-51.23341953135224";"Rua Gen. João Manoel, n° 217";"1";"PCDs";"3"
"-30.032340729235685";"-51.23318937887916";"Rua Riachuelo 838";"1";"PCDs";"1"
"-30.029423469317457";"-51.23242573743437";"Rua Caldas Jr., n° 108";"1";"PCDs";"1"
"-30.029022322181554";"-51.232099504299185";"Rua Capitão Montanha x Rua Siqueira Campos";"1";"PCDs";"1"
"-30.02879325126223";"-51.230613980356566";"Rua Cassiano do Nascimento x Pç. da Alfândega";"1";"PCDs";"2"
"-30.028047944206463";"-51.22968284232786";"Rua Siqueira Campos, n° 1204";"1";"PCDs";"1"
"-30.02775937035415";"-51.22876284463575";"Rua Siqueira Campos 1300 x Rua Uruguai";"1";"PCDs";"3"
"-30.027971767541292";"-51.22889742895143";"Rua Uruguai x Rua Siqueira Campos";"1";"PCDs";"2"
"-30.02906925632168";"-51.22966589127037";"Rua 7 de Setembro, n° 1069";"1";"PCDs";"2"
"-30.02955818194151";"-51.22786483496225";"Av. Borges de Medeiros x Rua dos Andradas";"1";"PCDs";"3"
"-30.028160665136134";"-51.226837803704825";"Praça XV, 76";"1";"PCDs";"1"
"-30.027136170458164";"-51.22552888570556";"Rua Vigário José Inácio, DF ao n° 171";"1";"PCDs";"1"
"-30.026391410343187";"-51.22256864232787";"Rua Carlos Chagas, DF ao n° 15";"1";"PCDs";"1"
"-30.02802161163952";"-51.2198542468048";"Av. Alberto Bins 665 x Rua da Conceição";"1";"PCDs";"1"
"-30.028197611393548";"-51.22331714847945";"Av. Alberto Bins, n° 325";"1";"PCDs";"1"
"-30.027791555689284";"-51.223880344180316";"Rua Senhor dos Passos, n° 80";"1";"PCDs";"1"
"-30.03046850000000";"-51.22517080000000";"Rua Gen. Vitorino, n° 157";"1";"PCDs";"1"
"-30.030562450720105";"-51.225906555484016";"Rua Vigário José Inácio, n° 529";"1";"PCDs";"1"
"-30.03259363595692";"-51.22678624110449";"Rua Jerônimo Coelho, n° 261";"1";"PCDs";"2"
"-30.0323996350421";"-51.22706652394254";"Rua Mal. Floriano Peixoto, n° 385";"1";"PCDs";"1"
"-30.03066759999999";"-51.22844939999999";"Rua Gen. Andrades Neves, n° 145";"1";"PCDs";"1"
"-30.03216";"-51.23011";"Rua Gen. Câmara x Praça Mal. Deodoro";"1";"PCDs";"1"
"-30.03335683774153";"-51.23058711911847";"Rua Duque de Caxias, 1005; em frente ao Palácio Pir";"1";"PCDs";"2"
"-30.033328206343125";"-51.231353499370925";"Rua Duque de Caxias, DF ao n° 1005";"1";"PCDs";"1"
"-30.036940208936873";"-51.23158790485877";"Rua Washington Luiz, n° 855";"1";"PCDs";"1"
"-30.035241793324495";"-51.226717090213015";"Rua Cel. Genuíno, n° 130";"1";"PCDs";"1"
"-30.033543882724967";"-51.226487217790975";"Rua Duque de Caxias, n° 1475";"1";"PCDs";"1"
"-30.031478736715343";"-51.2341464375412";"Rua dos Andradas, em frente ao Mário Quintana";"1";"PCDs";"1"
"-30.03087624070717";"-51.2326528920654";"Rua dos Andradas DF ao 943 x Rua Caldas Jr.";"1";"PCDs";"1"
"-30.031572205987324";"-51.22970586627048";"Rua Riachuelo x Largo João Amorim de Alboquerque";"1";"PCDs";"1"
"-30.032063910231255";"-51.22134693612213";"Av. Osvaldo Aranha, n° 99 (em frente a UFRGS)";"1";"PCDs";"1"
"-30.033969915145633";"-51.235012386511016";"Rua Duque de Caxias, n° 657";"1";"PCDs";"1"
"-30.030329026759627";"-51.226017324802456";"Rua Gen. Vitorino 64 x Rua Vigário José Ináci";"1";"PCDs";"1"
"-30.029642430657745";"-51.22571174801328";"Rua Vigário José Inácio x Rua dos Andradas";"1";"PCDs";"1"
"-30.030272301422638";"-51.22671741433146";"Rua Gen. Vitorino x Rua Mal. Floriano Peixoto";"1";"PCDs";"1"
"-30.03032009094493";"-51.233274838695706";"Rua 7 de Setembro, n° 713";"1";"PCDs";"1"
"-30.02811898866979";"-51.22262177042006";"Av. Alberto Bins, n° 404";"1";"PCDs";"1"
"-30.036116966046173";"-51.2283538773155";"Rua Demétrio Ribeiro x Av. Borges de Medeiros";"1";"PCDs";"1"
"-30.028589799395505";"-51.232339180217764";"Rua Capitão Montanha (Centro Saúde Sta Marta)";"1";"PCDs";"1"
"-30.03757922059454";"-51.229072249637625";"Rua Washington Luiz 1094 (em frente sede OAB)";"1";"PCDs";"1"
"-30.04292889542329";"-51.21532714351656";"Rua Lobo da Costa 308";"1";"PCDs";"1"
"-30.03890804876453";"-51.22397903802869";"Rua da República, 441";"1";"PCDs";"1"
"-30.03791461352756";"-51.22567804662708";"Trav. do Carmo 135";"1";"PCDs";"1"
"-30.039040000000007";"-51.21467437301635";"Av. José Bonifácio 245";"1";"PCDs";"1"
"-30.038409814504096";"-51.21360696808813";"Av. José Bonifácio 363";"1";"PCDs";"1"
